//升级数据表																						
//ID==级别																						
人物等级	升到下一级所需经验值	生命	内力	体力	生命恢复力	内力恢复力	体力恢复力	外功	内功	外防	内防	身法	杀气	气运	冲穴点	悟性	记性	根骨	气血循环当前值	气血循环最大值	资质 	血量等级限制
40	477016 	759	720	397	5	5	5	186	186	149	149	123	50	20	1	0	9	14	30	30	40	50000
41	562672 	774	736	403	5	5	5	190	190	156	156	126	50	20	1	0	9	14	30	30	41	50000
42	653001 	799	752	413	5	5	5	196	196	159	159	131	50	20	1	0	9	14	30	30	42	50000
43	748106 	813	768	421	5	5	5	201	201	163	163	136	50	20	1	0	9	15	30	30	43	50000
44	848087 	824	784	429	5	5	5	210	210	167	167	139	50	20	1	0	9	15	30	30	44	50000
45	953044 	846	800	439	5	5	5	217	217	173	173	143	50	20	1	0	10	15	30	30	45	50000
46	1063076 	865	816	451	5	5	5	224	224	176	176	146	50	20	1	0	10	16	30	30	46	50000
47	1178282 	886	832	461	5	5	5	230	230	179	179	151	50	20	1	0	10	16	30	30	47	50000
48	1298759 	909	848	467	5	5	5	234	234	184	184	156	50	20	1	0	10	16	30	30	48	50000
49	1424604 	930	864	473	5	5	5	238	238	188	188	159	50	20	1	0	10	17	30	30	49	50000
50	1655183 	950	880	481	6	6	6	244	244	195	195	165	50	20	1	0	11	17	30	30	50	50000
51	1774024 	974	896	493	6	6	6	248	248	201	201	171	50	20	2	0	11	17	30	30	51	50000
52	1898661 	997	912	529	6	6	6	257	257	205	205	176	50	20	2	0	11	18	30	30	52	50000
53	2029232 	1015	928	539	6	6	6	265	265	209	209	181	50	20	2	0	11	18	30	30	53	50000
54	2165875 	1041	944	551	6	6	6	272	272	217	217	187	50	20	2	0	11	18	30	30	54	50000
55	2308728 	1062	960	559	6	6	6	282	282	220	220	192	50	20	2	0	12	19	30	30	55	50000
56	2457929 	1081	976	577	6	6	6	289	289	225	225	196	50	20	2	0	12	19	30	30	56	50000
57	2613616 	1104	992	585	6	6	6	294	294	232	232	199	50	20	2	0	12	19	30	30	57	50000
58	2775927 	1125	1008	591	6	6	6	300	300	241	241	206	50	20	2	0	12	20	30	30	58	50000
59	2945000 	1149	1024	601	6	6	6	308	308	245	245	211	50	20	2	0	12	20	30	30	59	50000
60	3120973 	1174	1040	617	7	7	7	317	317	252	252	216	50	20	2	0	13	20	30	30	60	50000
61	3303984 	1196	1056	633	7	7	7	328	328	257	257	222	50	20	2	0	13	21	30	30	61	50000
62	3494171 	1226	1072	645	7	7	7	336	336	264	264	228	50	20	2	0	13	21	30	30	62	50000
63	3691672 	1247	1088	659	7	7	7	342	342	270	270	235	50	20	2	0	13	21	30	30	63	50000
64	3896625 	1279	1104	669	7	7	7	355	355	277	277	240	50	20	2	0	13	22	30	30	64	50000
65	4109168 	1299	1120	703	7	7	7	363	363	286	286	249	50	20	2	0	14	22	30	30	65	50000
66	4329439 	1328	1136	721	7	7	7	375	375	291	291	253	50	20	2	0	14	22	30	30	66	50000
67	4557576 	1351	1152	731	7	7	7	385	385	301	301	258	50	20	2	0	14	23	30	30	67	50000
68	4793717 	1382	1168	743	7	7	7	396	396	308	308	264	50	20	2	0	14	23	30	30	68	50000
69	5038000 	1410	1184	757	7	7	7	402	402	314	314	270	50	20	2	0	14	23	30	30	69	50000
70	5290563 	1439	1200	775	8	8	8	410	410	325	325	278	50	20	2	0	15	24	30	30	70	50000
71	5551544 	1470	1216	787	8	8	8	422	422	331	331	284	50	20	2	0	15	24	30	30	71	50000
72	5821081 	1510	1232	813	8	8	8	432	432	340	340	291	50	20	2	0	15	24	30	30	72	50000
73	6099312 	1543	1248	829	8	8	8	441	441	351	351	296	50	20	2	0	15	25	30	30	73	50000
74	6386375 	1576	1264	847	8	8	8	455	455	363	363	305	50	20	2	0	15	25	30	30	74	50000
75	6682408 	1609	1280	871	8	8	8	463	463	368	368	313	50	20	2	0	16	25	30	30	75	50000
76	6987549 	1641	1296	885	8	8	8	476	476	375	375	321	50	20	2	0	16	26	30	30	76	50000
77	7301936 	1667	1312	899	8	8	8	486	486	389	389	331	50	20	2	0	16	26	30	30	77	50000
78	7625707 	1692	1328	921	8	8	8	498	498	397	397	339	50	20	2	0	16	26	30	30	78	50000
79	7959000 	1721	1344	937	8	8	8	512	512	406	406	345	50	20	2	0	16	27	30	30	79	50000
80	8292278 	1754	1360	957	9	9	9	528	528	419	419	353	50	20	2	0	17	27	30	30	80	50000
81	8656616 	1785	1376	975	9	9	9	544	544	426	426	360	50	20	2	0	17	27	30	30	81	50000
82	9031736 	1823	1392	1003	9	9	9	563	563	432	432	371	50	20	2	0	17	28	30	30	82	50000
83	9417804 	1857	1408	1029	9	9	9	575	575	441	441	378	50	20	2	0	17	28	30	30	83	50000
84	9814986 	1900	1424	1051	9	9	9	588	588	454	454	387	50	20	2	0	17	28	30	30	84	50000
85	10223445 	1939	1440	1075	9	9	9	601	601	468	468	396	50	20	2	0	18	29	30	30	85	50000
86	10643348 	1986	1456	1105	9	9	9	616	616	479	479	406	50	20	2	0	18	29	30	30	86	50000
87	11074861 	2017	1472	1123	9	9	9	633	633	487	487	414	50	20	2	0	18	29	30	30	87	50000
88	11518149 	2051	1488	1147	9	9	9	649	649	506	506	426	50	20	2	0	18	30	30	30	88	50000
89	11973378 	2092	1520	1167	9	9	9	659	659	522	522	434	50	20	2	0	18	30	30	30	89	50000
90	12440716 	2129	1552	1197	10	10	10	676	676	539	539	443	50	20	2	0	19	30	30	30	90	50000
91	12920328 	2175	1568	1219	10	10	10	696	696	558	558	452	50	20	2	0	19	31	30	30	91	50000
92	13412382 	2223	1584	1249	10	10	10	712	712	570	570	464	50	20	2	0	19	31	30	30	92	50000
93	13917044 	2272	1600	1281	10	10	10	725	725	585	585	472	50	20	2	0	19	31	30	30	93	50000
94	14434481 	2315	1632	1315	10	10	10	735	735	595	595	482	50	20	2	0	19	32	30	30	94	50000
95	14964862 	2360	1664	1345	10	10	10	745	745	600	600	491	50	20	2	0	19	32	30	30	95	50000
96	15508353 	2400	1696	1381	10	10	10	755	755	610	610	503	50	20	2	0	19	32	30	30	96	50000
97	16065122 	2442	1728	1409	10	10	10	765	765	620	620	516	50	20	2	0	19	33	30	30	97	50000
98	16635338 	2485	1760	1441	10	10	10	775	775	630	630	525	50	20	2	0	19	33	30	30	98	50000
99	17219168 	2532	1792	1471	10	10	10	785	785	640	640	541	50	20	2	0	19	33	30	30	99	50000
100	17816781 	2575	1824	1500	10	10	10	800	800	650	650	550	50	20	2	0	19	34	31	31	100	75000
101	18428345 	2595	1840	1516	11	11	11	810	810	660	660	555	50	20	3	0	24	34	32	32	101	75000
102	19054030 	2616	1856	1532	11	11	11	820	820	670	670	561	50	20	3	0	24	34	33	33	102	75000
103	19694004 	2638	1872	1549	11	11	11	830	830	680	680	565	50	20	3	0	24	35	34	34	103	75000
104	20348436 	2661	1888	1566	11	11	11	840	840	690	690	570	50	20	3	0	24	35	35	35	104	75000
105	21017495 	2685	1904	1584	11	11	11	850	850	700	700	574	50	20	3	0	24	35	36	36	105	75000
106	21701351 	2710	1920	1602	11	11	11	860	860	710	710	578	50	20	3	0	25	36	37	37	106	75000
107	22400174 	2736	1936	1621	11	11	11	870	870	720	720	586	50	20	3	0	25	36	38	38	107	75000
108	23114133 	2763	1952	1640	11	11	11	880	880	730	730	589	50	20	3	0	25	36	39	39	108	75000
109	23843398 	2791	1968	1660	11	11	11	890	890	740	740	594	50	20	3	0	25	37	40	40	109	75000
110	24588140 	2820	1984	1680	11	11	11	900	900	750	750	599	50	20	3	0	25	37	40	40	110	75000
111	25348529 	2840	2000	1696	12	12	12	910	910	760	760	604	50	20	3	0	26	37	40	40	111	75000
112	26124735 	2861	2016	1712	12	12	12	920	920	770	770	608	50	20	3	0	26	38	40	40	112	75000
113	26916929 	2883	2032	1729	12	12	12	930	930	780	780	613	50	20	3	0	26	38	40	40	113	75000
114	27725282 	2906	2048	1746	12	12	12	940	940	790	790	618	50	20	3	0	27	38	40	40	114	75000
115	28549965 	2930	2064	1764	12	12	12	950	950	800	800	623	50	20	3	0	27	39	40	40	115	75000
116	29391148 	2955	2080	1782	12	12	12	960	960	810	810	628	50	20	3	0	28	39	40	40	116	75000
117	30249004 	2981	2096	1801	12	12	12	970	970	820	820	633	50	20	3	0	28	39	40	40	117	75000
118	31123704 	3008	2112	1820	12	12	12	980	980	830	830	638	50	20	3	0	28	40	40	40	118	75000
119	32015419 	3036	2128	1840	12	12	12	990	990	840	840	643	50	20	3	0	29	40	40	40	119	75000
120	32960149 	3065	2144	1860	12	12	12	1000	1000	850	850	648	50	20	3	0	29	40	40	40	120	75000
121	34478922 	3085	2160	1876	13	13	13	1010	1010	860	860	653	50	20	3	0	30	41	40	40	121	75000
122	36029207 	3106	2176	1892	13	13	13	1020	1020	870	870	657	50	20	3	0	30	41	40	40	122	75000
123	37611370 	3128	2192	1909	13	13	13	1030	1030	880	880	662	50	20	3	0	30	41	40	40	123	75000
124	39225777 	3151	2208	1926	13	13	13	1040	1040	890	890	667	50	20	3	0	31	42	40	40	124	75000
125	40872798 	3175	2224	1944	13	13	13	1050	1050	900	900	672	50	20	3	0	31	42	40	40	125	75000
126	42552801 	3200	2240	1962	13	13	13	1060	1060	910	910	677	50	20	3	0	32	42	40	40	126	75000
127	44266157 	3226	2256	1981	13	13	13	1070	1070	920	920	682	50	20	3	0	32	43	40	40	127	75000
128	46013236 	3253	2272	2000	13	13	13	1080	1080	930	930	687	50	20	3	0	32	43	40	40	128	75000
129	47794410 	3281	2288	2020	13	13	13	1090	1090	940	940	692	50	20	3	0	33	43	40	40	129	75000
130	49610053 	3310	2304	2040	13	13	13	1100	1100	950	950	697	50	20	3	0	33	44	40	40	130	75000
131	51460537 	3330	2320	2056	14	14	14	1110	1110	960	960	701	50	20	3	0	34	44	40	40	131	75000
132	53346239 	3351	2336	2072	14	14	14	1120	1120	970	970	706	50	20	3	0	34	44	40	40	132	75000
133	55267534 	3373	2352	2089	14	14	14	1130	1130	980	980	711	50	20	3	0	34	45	40	40	133	75000
134	57224798 	3396	2368	2106	14	14	14	1140	1140	990	990	716	50	20	3	0	35	45	40	40	134	75000
135	59218410 	3420	2384	2124	14	14	14	1150	1150	1000	1000	721	50	20	3	0	35	45	40	40	135	75000
136	61248746 	3445	2400	2142	14	14	14	1160	1160	1010	1010	726	50	20	3	0	36	46	40	40	136	75000
137	63316187 	3471	2416	2161	14	14	14	1170	1170	1020	1020	731	50	20	3	0	36	46	40	40	137	75000
138	65421114 	3498	2432	2180	14	14	14	1180	1180	1030	1030	736	50	20	3	0	36	46	40	40	138	75000
139	67563907 	3526	2448	2200	14	14	14	1190	1190	1040	1040	741	50	20	3	0	37	47	40	40	139	75000
140	69744947 	3555	2464	2220	14	14	14	1200	1200	1050	1050	745	50	20	3	0	37	47	40	40	140	75000
141	71964619 	3575	2484	2241	15	15	15	1210	1210	1060	1060	750	50	20	3	0	38	47	40	40	141	75000
142	74223306 	3596	2504	2262	15	15	15	1220	1220	1070	1070	755	50	20	3	0	38	48	40	40	142	75000
143	76521393 	3618	2524	2284	15	15	15	1230	1230	1080	1080	760	50	20	3	0	38	48	40	40	143	75000
144	78859265 	3641	2544	2306	15	15	15	1240	1240	1090	1090	763	50	20	3	0	39	48	40	40	144	75000
145	81237308 	3665	2564	2329	15	15	15	1250	1250	1100	1100	766	50	20	3	0	39	49	40	40	145	75000
146	83655910 	3690	2584	2352	15	15	15	1260	1260	1110	1110	770	50	20	3	0	40	49	40	40	146	75000
147	86115460 	3716	2604	2376	15	15	15	1270	1270	1120	1120	776	50	20	3	0	40	49	40	40	147	75000
148	88616345 	3743	2624	2400	15	15	15	1280	1280	1130	1130	779	50	20	3	0	40	50	40	40	148	75000
149	91158956 	3771	2644	2425	15	15	15	1290	1290	1140	1140	783	50	20	3	0	41	50	40	40	149	75000
150	93743683 	3800	2664	2450	15	15	15	1300	1300	1150	1150	788	50	20	3	0	41	50	40	40	150	75000
151	96370918 	3820	2684	2471	16	16	16	1310	1310	1160	1160	792	50	20	4	0	42	51	40	40	151	75000
152	99041054 	3841	2704	2492	16	16	16	1320	1320	1170	1170	796	50	20	4	0	42	51	40	40	152	75000
153	101754483 	3863	2724	2514	16	16	16	1330	1330	1180	1180	801	50	20	4	0	42	51	40	40	153	75000
154	104511599 	3886	2744	2536	16	16	16	1340	1340	1190	1190	805	50	20	4	0	43	52	40	40	154	75000
155	107312798 	3910	2764	2559	16	16	16	1350	1350	1200	1200	809	50	20	4	0	43	52	40	40	155	75000
156	110158474 	3935	2784	2582	16	16	16	1360	1360	1210	1210	813	50	20	4	0	44	52	40	40	156	75000
157	113049025 	3961	2804	2606	16	16	16	1370	1370	1220	1220	818	50	20	4	0	44	53	40	40	157	75000
158	115984847 	3988	2824	2630	16	16	16	1380	1380	1230	1230	822	50	20	4	0	44	53	40	40	158	75000
159	118966339 	4016	2844	2655	16	16	16	1390	1390	1240	1240	826	50	20	4	0	45	53	40	40	159	75000
160	121993899 	4045	2864	2680	16	16	16	1400	1400	1250	1250	831	50	20	4	0	45	54	40	40	160	75000
161	125067927 	4070	2884	2701	17	17	17	1410	1410	1260	1260	835	50	20	4	0	46	54	40	40	161	75000
162	128188824 	4096	2904	2722	17	17	17	1420	1420	1270	1270	839	50	20	4	0	46	54	40	40	162	75000
163	131356991 	4123	2924	2744	17	17	17	1430	1430	1280	1280	844	50	20	4	0	46	55	40	40	163	75000
164	134572829 	4151	2944	2766	17	17	17	1440	1440	1290	1290	848	50	20	4	0	47	55	40	40	164	75000
165	137836742 	4180	2964	2789	17	17	17	1450	1450	1300	1300	852	50	20	4	0	47	55	40	40	165	75000
166	148367488 	4210	2984	2812	17	17	17	1460	1460	1310	1310	856	50	20	4	0	48	56	40	40	166	75000
167	152962506 	4241	3004	2836	17	17	17	1470	1470	1320	1320	861	50	20	4	0	48	56	40	40	167	75000
168	157627854 	4273	3024	2860	17	17	17	1480	1480	1330	1330	865	50	20	4	0	48	56	40	40	168	75000
169	162364157 	4306	3044	2885	17	17	17	1490	1490	1340	1340	869	50	20	4	0	49	57	40	40	169	75000
170	168486376 	4340	3064	2910	17	17	17	1500	1500	1350	1350	874	50	20	4	0	49	57	40	40	170	75000
171	173773140 	4365	3084	2931	18	18	18	1510	1510	1360	1360	878	50	20	4	0	50	57	40	40	171	75000
172	179138809 	4391	3104	2952	18	18	18	1520	1520	1370	1370	882	50	20	4	0	50	58	40	40	172	75000
173	184584066 	4418	3124	2974	18	18	18	1530	1530	1380	1380	887	50	20	4	0	50	58	40	40	173	75000
174	190109596 	4446	3144	2996	18	18	18	1540	1540	1390	1390	891	50	20	4	0	51	58	40	40	174	75000
175	195716085 	4475	3164	3019	18	18	18	1550	1550	1400	1400	895	50	20	4	0	51	59	40	40	175	75000
176	201404220 	4505	3184	3042	18	18	18	1560	1560	1410	1410	899	50	20	4	0	52	59	40	40	176	75000
177	207174690 	4536	3204	3066	18	18	18	1570	1570	1420	1420	904	50	20	4	0	52	59	40	40	177	75000
178	213028188 	4568	3224	3090	18	18	18	1580	1580	1430	1430	908	50	20	4	0	52	60	40	40	178	75000
179	218965405 	4601	3244	3115	18	18	18	1590	1590	1440	1440	912	50	20	4	0	53	60	40	40	179	75000
180	268518517 	4635	3264	3140	18	18	18	1600	1600	1450	1450	917	50	20	4	0	53	60	40	40	180	75000
181	315702947 	4660	3288	3166	19	19	19	1610	1610	1460	1460	921	50	20	4	0	54	61	40	40	181	75000
182	363578204 	4686	3312	3192	19	19	19	1620	1620	1470	1470	925	50	20	4	0	54	61	40	40	182	75000
183	412150321 	4713	3336	3219	19	19	19	1630	1630	1480	1480	930	50	20	4	0	54	61	40	40	183	75000
184	461425351 	4741	3360	3246	19	19	19	1640	1640	1490	1490	934	50	20	4	0	55	62	40	40	184	75000
185	511409361 	4770	3384	3274	19	19	19	1650	1650	1500	1500	938	50	20	4	0	55	62	40	40	185	75000
186	562108437 	4800	3408	3302	19	19	19	1660	1660	1510	1510	942	50	20	4	0	56	62	40	40	186	75000
187	613528681 	4831	3432	3331	19	19	19	1670	1670	1520	1520	947	50	20	4	0	56	63	40	40	187	75000
188	665676214 	4863	3456	3360	19	19	19	1680	1680	1530	1530	951	50	20	4	0	57	63	40	40	188	75000
189	718557174 	4896	3480	3390	19	19	19	1690	1690	1540	1540	955	50	20	4	0	57	63	40	40	189	75000
190	1544355428 	4930	3504	3420	19	19	19	1700	1700	1550	1550	960	50	20	4	0	58	64	40	40	190	75000
191	1653088014 	4955	3528	3446	20	20	20	1710	1710	1560	1560	964	50	20	4	0	58	64	40	40	191	75000
192	1763324484 	4981	3552	3472	20	20	20	1720	1720	1570	1570	968	50	20	4	0	59	64	40	40	192	75000
193	1875077248 	5008	3576	3499	20	20	20	1730	1730	1580	1580	973	50	20	4	0	59	64	40	40	193	75000
194	1988358750 	5036	3600	3526	20	20	20	1740	1740	1590	1590	977	50	20	4	0	60	64	40	40	194	75000
195	2103181474 	5065	3624	3554	20	20	20	1750	1750	1600	1600	981	50	20	4	0	60	64	40	40	195	75000
196	2219557930 	5095	3648	3582	20	20	20	1760	1760	1610	1610	985	50	20	4	0	60	64	40	40	196	75000
197	2337500664 	5126	3672	3611	20	20	20	1770	1770	1620	1620	990	50	20	4	0	61	64	40	40	197	75000
198	2457022260 	5158	3696	3640	20	20	20	1780	1780	1630	1630	994	50	20	4	0	62	64	40	40	198	75000
199	2578135328 	5191	3720	3670	20	20	20	1790	1790	1640	1640	998	50	20	9	0	63	64	40	40	199	75000
200	2700852518 	5225	3744	3700	20	20	20	1800	1800	1650	1650	1000	50	20	0	0	64	64	40	40	200	100000
201	3005927442 	5285	3770	3730	25	25	25	1820	1820	1660	1660	1005	50	20	0	0	64	64	41	41	201	100000
202	3149885738 	5355	3796	3760	25	25	25	1840	1840	1670	1670	1010	50	20	0	0	64	64	42	42	202	100000
203	3295720906 	5435	3822	3790	25	25	25	1860	1860	1680	1680	1015	50	20	0	0	64	64	43	43	203	100000
204	3443447552 	5525	3848	3820	25	25	25	1880	1880	1690	1690	1020	50	20	0	0	64	64	44	44	204	100000
205	3593080320 	5625	3874	3850	25	25	25	1900	1900	1700	1700	1025	50	20	0	0	64	64	45	45	205	100000
206	3744633892 	5735	3900	3880	25	25	25	1920	1920	1710	1710	1030	50	20	0	0	64	64	46	46	206	100000
207	3898122986 	5855	3926	3910	25	25	25	1940	1940	1720	1720	1035	50	20	0	0	64	64	47	47	207	100000
208	4053562358 	5985	3952	3940	25	25	25	1960	1960	1730	1730	1040	50	20	0	0	64	64	48	48	208	100000
209	4210966800 	6125	3978	3970	25	25	25	1980	1980	1740	1740	1045	50	20	0	0	64	64	49	49	209	100000
210	4294967294 	6275	4004	4000	25	25	25	2000	2000	1750	1750	1050	50	20	0	0	64	64	50	50	210	100000
211	4432624269 	6305	4030	4030	26	26	26	2010	2010	1770	1770	1055	50	20	0	0	64	64	50	50	211	100000
212	4576236132 	6410	4056	4060	26	26	26	2020	2020	1790	1790	1060	50	20	0	0	64	64	50	50	212	100000
213	4719847995 	6515	4082	4090	26	26	26	2030	2030	1810	1810	1065	50	20	0	0	64	64	50	50	213	100000
214	4863459857 	6620	4108	4120	26	26	26	2040	2040	1830	1830	1070	50	20	0	0	64	64	50	50	214	100000
215	5007071720 	6725	4134	4150	26	26	26	2050	2050	1850	1850	1075	50	20	0	0	64	64	50	50	215	100000
216	5150683583 	6830	4160	4180	26	26	26	2060	2060	1870	1870	1080	50	20	0	0	64	64	50	50	216	100000
217	5294295445 	6935	4186	4210	26	26	26	2070	2070	1890	1890	1085	50	20	0	0	64	64	50	50	217	100000
218	5437907308 	7040	4212	4240	26	26	26	2080	2080	1910	1910	1090	50	20	0	0	64	64	50	50	218	100000
219	5581519171 	7145	4238	4270	26	26	26	2090	2090	1930	1930	1095	50	20	0	0	64	64	50	50	219	100000
220	6225131033 	7250	4264	4300	26	26	26	2100	2100	1950	1950	1100	50	20	0	0	64	64	50	50	220	100000
221	6368742895 	7355	4290	4330	27	27	27	2110	2110	1970	1970	1105	50	20	0	0	64	64	50	50	221	100000
222	6512354758 	7460	4316	4360	27	27	27	2120	2120	1990	1990	1110	50	20	0	0	64	64	50	50	222	100000
223	6755966621 	7565	4342	4390	27	27	27	2130	2130	2010	2010	1115	50	20	0	0	64	64	50	50	223	100000
224	6999578483 	7670	4368	4420	27	27	27	2140	2140	2030	2030	1120	50	20	0	0	64	64	50	50	224	100000
225	7243190346 	7775	4394	4450	27	27	27	2150	2150	2050	2050	1125	50	20	0	0	64	64	50	50	225	100000
226	7486802208 	7880	4420	4480	27	27	27	2160	2160	2070	2070	1130	50	20	0	0	64	64	50	50	226	100000
227	7730414071 	7985	4446	4510	27	27	27	2170	2170	2090	2090	1135	50	20	0	0	64	64	50	50	227	100000
228	7974025934 	8090	4472	4540	27	27	27	2180	2180	2110	2110	1140	50	20	0	0	64	64	50	50	228	100000
229	8217637796 	8195	4498	4570	27	27	27	2190	2190	2130	2130	1145	50	20	0	0	64	64	50	50	229	100000
230	10061249659 	8300	4524	4600	27	27	27	2200	2200	2150	2150	1150	50	20	0	0	64	64	50	50	230	100000
231	12004861521 	8405	4550	4630	28	28	28	2210	2210	2170	2170	1155	50	20	0	0	64	64	50	50	231	100000
232	13948473383 	8510	4576	4660	28	28	28	2220	2220	2190	2190	1160	50	20	0	0	64	64	50	50	232	100000
233	15892085245 	8615	4602	4690	28	28	28	2230	2230	2210	2210	1165	50	20	0	0	64	64	50	50	233	100000
234	17835697107 	8720	4628	4720	28	28	28	2240	2240	2230	2230	1170	50	20	0	0	64	64	50	50	234	100000
235	19779308969 	8825	4654	4750	28	28	28	2250	2250	2250	2250	1175	50	20	0	0	64	64	50	50	235	100000
236	21722920831 	8930	4680	4780	28	28	28	2260	2260	2270	2270	1180	50	20	0	0	64	64	50	50	236	100000
237	23666532693 	9035	4706	4810	28	28	28	2270	2270	2290	2290	1185	50	20	0	0	64	64	50	50	237	100000
238	25610144555 	9140	4732	4840	28	28	28	2280	2280	2310	2310	1190	50	20	0	0	64	64	50	50	238	100000
239	27553756417 	9245	4758	4870	28	28	28	2290	2290	2330	2330	1195	50	20	0	0	64	64	50	50	239	100000
240	31497368279 	9350	4784	4900	28	28	28	2300	2300	2350	2350	1200	50	20	0	0	64	64	50	50	240	100000
241	35440980141 	9455	4810	4930	29	29	29	2310	2310	2370	2370	1205	50	20	0	0	64	64	50	50	241	100000
242	39384592003 	9560	4836	4960	29	29	29	2320	2320	2390	2390	1210	50	20	0	0	64	64	50	50	242	100000
243	43328203865 	9665	4862	4990	29	29	29	2330	2330	2410	2410	1215	50	20	0	0	64	64	50	50	243	100000
244	47271815727 	9770	4888	5020	29	29	29	2340	2340	2430	2430	1220	50	20	0	0	64	64	50	50	244	100000
245	51215427589 	9875	4914	5050	29	29	29	2350	2350	2450	2450	1225	50	20	0	0	64	64	50	50	245	100000
246	55159039451 	9980	4940	5080	29	29	29	2360	2360	2470	2470	1230	50	20	0	0	64	64	50	50	246	100000
247	59102651313 	10085	4966	5110	29	29	29	2370	2370	2490	2490	1235	50	20	0	0	64	64	50	50	247	100000
248	63046263175 	10190	4992	5140	29	29	29	2380	2380	2510	2510	1240	50	20	0	0	64	64	50	50	248	100000
249	66989875037 	10295	5018	5170	29	29	29	2390	2390	2530	2530	1245	50	20	0	0	64	64	50	50	249	100000
250	70933486899 	10400	5044	5200	29	29	29	2400	2400	2550	2550	1250	50	20	0	0	64	64	50	50	250	100000
251	73921141220 	10505	5070	5230	30	30	30	2410	2410	2570	2570	1255	50	20	0	0	64	64	50	50	251	100000
